date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:57	160866/160866	---M-Z	200	added ('OK')	text/html	etag:%22999ebb2cc42806999cd5430451bf6afd%22	https://solarflarerobotics.framer.website/	C:/My%20Web%20Sites/solar%20flare%20v2/solarflarerobotics.framer.website/index.html	(from )
22:29:57	104/104	---M-Z	200	added ('OK')	text/plain	etag:%22e037bf1dc25db697bec99405bc570aec%22	https://solarflarerobotics.framer.website/robots.txt		(from )
22:29:57	10670/10670	---MC-	200	added ('OK')	image/png	etag:%22ce5a91da3ce2a59796a14c86aac5e4d2%22	https://framerusercontent.com/images/vjHy6xaww8MlxhhSiIdiLSe4MIM.png	C:/My%20Web%20Sites/solar%20flare%20v2/framerusercontent.com/images/vjHy6xaww8MlxhhSiIdiLSe4MIM.png	(from https://solarflarerobotics.framer.website/)
22:29:57	16519/16519	---M--	200	added ('OK')	image/png	etag:%22acfb00b80a8867939340e94538e10151%22	https://framerusercontent.com/assets/Ojz9Xs7cf1jHr6eSCaYJwZZkrE.png	C:/My%20Web%20Sites/solar%20flare%20v2/framerusercontent.com/assets/Ojz9Xs7cf1jHr6eSCaYJwZZkrE.png	(from https://solarflarerobotics.framer.website/)
22:29:58	98434/98434	---MC-	200	added ('OK')	image/png	etag:%2274097f8ef17f88a202d7d2735041f808%22	https://framerusercontent.com/images/lc4mtkYraoKRALKLv8o3WxPloU.png	C:/My%20Web%20Sites/solar%20flare%20v2/framerusercontent.com/images/lc4mtkYraoKRALKLv8o3WxPloU.png	(from https://solarflarerobotics.framer.website/)
22:29:58	204633/204633	---M-Z	200	added ('OK')	text/html	etag:%22106b39aad749e44c9affef5451a5e9b2%22	https://solarflarerobotics.framer.website/team	C:/My%20Web%20Sites/solar%20flare%20v2/solarflarerobotics.framer.website/team.html	(from https://solarflarerobotics.framer.website/)
22:29:58	149117/149117	---M-Z	200	added ('OK')	text/html	etag:%22e6d6865e0b6b2b0c7d95d4a414f1bdd5%22	https://solarflarerobotics.framer.website/sponsorship	C:/My%20Web%20Sites/solar%20flare%20v2/solarflarerobotics.framer.website/sponsorship.html	(from https://solarflarerobotics.framer.website/)
22:29:59	148675/148675	---M-Z	200	added ('OK')	text/html	etag:%22b98a82c7a549902418edc6250eb1e232%22	https://solarflarerobotics.framer.website/contact	C:/My%20Web%20Sites/solar%20flare%20v2/solarflarerobotics.framer.website/contact.html	(from https://solarflarerobotics.framer.website/)
22:29:59	78867/78867	---MC-	200	added ('OK')	image/gif	etag:%22dd5ccdde9626bceeeca6f77ad7165bff%22	https://framerusercontent.com/images/5hGFZW6QldOay10raga6X1R80.gif	C:/My%20Web%20Sites/solar%20flare%20v2/framerusercontent.com/images/5hGFZW6QldOay10raga6X1R80.gif	(from https://solarflarerobotics.framer.website/)
22:29:59	3725/3725	---MC-	200	added ('OK')	image/png	etag:%221274831cc90d1beb48e9ae22182d79a3%22	https://framerusercontent.com/images/Ojz9Xs7cf1jHr6eSCaYJwZZkrE.png	C:/My%20Web%20Sites/solar%20flare%20v2/framerusercontent.com/images/Ojz9Xs7cf1jHr6eSCaYJwZZkrE.png	(from https://solarflarerobotics.framer.website/team)
